School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     367,       4,   1.1,   0.0,   0.0,   0.0,   4.3
Abington - Abington High,00010505,     580,      13,   2.2,   0.0,   0.7,   6.2,   1.9
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     259,       1,   0.4,   0.0,   0.0,   1.7,   0.0
Acton-Boxborough - Acton-Boxborough Regional High,06000505,"   1,699",       2,   0.1,   0.0,   0.0,   0.0,   0.4
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     563,       1,   0.2,   0.0,   0.0,   0.0,   0.7
Agawam - Agawam High,00050505,"   1,012",      19,   1.9,   0.7,   2.8,   2.7,   1.4
Amesbury - Amesbury High,00070505,     456,      10,   2.2,   0.0,   1.6,   2.6,   4.3
Amesbury - Amesbury Innovation High School,00070515,      47,       5,  10.6,   0.0,  10.0,  22.2,  12.5
Amherst-Pelham - Amherst Regional High,06050505,     854,      10,   1.2,   0.0,   0.0,   1.5,   3.1
Andover - Andover High,00090505,"   1,644",       3,   0.2,   0.2,   0.2,   0.2,   0.0
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,     260,      11,   4.2,   1.3,   0.0,  14.3,   1.5
Arlington - Arlington High,00100505,"   1,483",       6,   0.4,   0.0,   0.0,   0.8,   0.8
Ashburnham-Westminster - Oakmont Regional High School,06100505,     614,       4,   0.7,   0.6,   0.0,   0.6,   1.6
Ashland - Ashland High,00140505,     812,       7,   0.9,   0.5,   1.0,   1.7,   0.4
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,"   1,139",      15,   1.3,   0.3,   0.7,   1.5,   2.9
Athol-Royalston - Athol High,06150505,     369,      10,   2.7,   0.0,   0.9,   6.8,   5.4
Atlantis Charter (District) - Atlantis Charter School,04910550,     302,       1,   0.3,   0.0,   1.6,   0.0,   0.0
Attleboro - Attleboro Community Academy,00160515,      50,       6,  12.0,,,  16.7,  11.8
Attleboro - Attleboro High,00160505,"   1,753",      16,   0.9,   0.8,   0.7,   2.0,   0.2
Attleboro - Attleboro Virtual Academy,00160705,      50,       4,   8.0,   0.0,  14.3,   9.1,   7.1
Auburn - Auburn Senior High,00170505,     721,      10,   1.4,   1.8,   1.1,   0.5,   2.2
Avon - Avon Middle High School,00180510,     205,       6,   2.9,   3.1,   2.0,   0.0,   6.4
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,     368,       7,   1.9,   0.0,   0.0,   5.1,   3.2
Barnstable - Barnstable High,00200505,"   1,376",      41,   3.0,   3.3,   2.6,   3.6,   2.4
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,     243,       7,   2.9,   2.8,   3.0,   0.0,   6.8
Bedford - Bedford High,00230505,     849,       1,   0.1,   0.0,   0.5,   0.0,   0.0
Belchertown - Belchertown High,00240505,     649,      10,   1.5,   1.3,   0.6,   2.2,   2.0
Bellingham - Bellingham High School,00250505,     559,      10,   1.8,   0.7,   0.6,   4.0,   2.3
Bellingham - Keough Memorial Academy,00250510,      14,       2,  14.3,,,,
Belmont - Belmont High,00260505,"   1,329",       0,   0.0,   0.0,   0.0,   0.0,   0.0
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,     170,       5,   2.9,   0.0,   4.8,   5.3,   2.4
Berkshire Hills - Monument Mt Regional High,06180505,     511,      12,   2.3,   0.0,   1.7,   2.7,   4.7
Berlin-Boylston - Tahanto Regional High,06200505,     283,       1,   0.4,   0.0,   1.2,   0.0,   0.0
Beverly - Beverly High,00300505,"   1,290",      12,   0.9,   0.6,   0.3,   0.9,   1.7
Billerica - Billerica Memorial High School,00310505,"   1,119",      12,   1.1,   1.0,   1.1,   1.1,   1.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,"   1,234",       0,   0.0,   0.0,   0.0,   0.0,   0.0
Blackstone-Millville - Blackstone Millville RHS,06220505,     406,       7,   1.7,   0.9,   0.0,   6.1,   0.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,     917,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Boston - Another Course To College,00350541,     231,       8,   3.5,   0.0,   1.7,  10.9,   1.7
Boston - Boston Adult Tech Academy,00350548,     118,      43,  36.4,,,  20.0,  38.0
Boston - Boston Arts Academy,00350546,     490,       7,   1.4,   0.0,   0.0,   3.2,   2.5
Boston - Boston Collaborative High School,00350755,      96,      46,  47.9,,,  25.9,  60.0
Boston - Boston Community Leadership Academy,00350558,     483,       9,   1.9,   0.0,   3.9,   1.7,   1.7
Boston - Boston International High School & Newcomers Academy,00350507,     421,      33,   7.8,   5.0,  15.8,   4.8,   6.3
Boston - Boston Latin Academy,00350545,"   1,168",       6,   0.5,   0.7,   0.3,   0.3,   0.8
Boston - Boston Latin School,00350560,"   1,632",       4,   0.2,   0.2,   0.2,   0.2,   0.3
Boston - Brighton High School,00350505,     345,      18,   5.2,   0.0,   1.9,  10.5,   5.5
Boston - Burke High School,00350525,     321,      19,   5.9,   1.3,   2.5,   6.6,  12.5
Boston - Carter School,00350036,      12,       0,   0.0,,,,
Boston - Charlestown High School,00350515,     658,      52,   7.9,   0.0,   3.3,  12.3,  10.0
Boston - Community Academy,00350518,      34,      11,  32.4,,,  33.3,  30.8
Boston - Community Academy of Science and Health,00350581,     314,      19,   6.1,   3.9,   3.9,   3.6,  13.0
Boston - Dearborn 6-12 STEM Academy,00350074,     339,      12,   3.5,   1.2,   6.9,   1.2,   4.7
Boston - East Boston High School,00350530,     989,      14,   1.4,   0.4,   2.2,   2.0,   1.1
Boston - English High School,00350535,     510,      12,   2.4,   0.9,   3.2,   2.7,   2.6
Boston - Excel High School,00350522,     436,      27,   6.2,   2.0,   5.7,   8.5,   8.1
Boston - Fenway High School,00350540,     383,       1,   0.3,   0.0,   0.0,   1.1,   0.0
Boston - Greater Egleston High School,00350543,      82,      13,  15.9,,,  26.3,  12.5
Boston - Henderson K-12 Inclusion School Upper,00350426,     257,       7,   2.7,   1.6,   1.5,   2.9,   4.8
Boston - Horace Mann School for the Deaf Hard of Hearing,00350750,      22,       0,   0.0,   0.0,,,   0.0
Boston - Lyon High School,00350655,     129,       3,   2.3,   3.4,   2.9,   3.3,   0.0
Boston - Madison Park Technical Vocational High School,00350537,"   1,132",      28,   2.5,   0.9,   1.7,   3.0,   5.1
Boston - Margarita Muniz Academy,00350549,     323,      11,   3.4,   0.0,   1.3,   4.9,   7.2
Boston - McKinley Schools,00350363,     120,      13,  10.8,   3.2,   8.8,  16.1,  16.7
Boston - New Mission High School,00350542,     436,       1,   0.2,   0.0,   0.8,   0.0,   0.0
Boston - O'Bryant School of Math & Science,00350575,"   1,253",       1,   0.1,   0.0,   0.0,   0.3,   0.0
Boston - Quincy Upper School,00350565,     233,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Boston - Snowden International High School,00350690,     485,      14,   2.9,   2.0,   2.3,   1.0,   6.5
Boston - TechBoston Academy,00350657,     569,      15,   2.6,   0.0,   4.5,   4.0,   1.6
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,     336,       3,   0.9,   0.0,   1.3,   1.3,   1.2
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,     348,     130,  37.4,  24.0,  42.9,,  38.2
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,     319,       8,   2.5,   3.3,   3.8,   0.0,   2.7
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,     402,       2,   0.5,   0.8,   0.0,   1.2,   0.0
Bourne - Bourne High School,00360505,     377,       6,   1.6,   1.2,   2.1,   2.3,   0.9
Braintree - Braintree High,00400505,"   1,635",      15,   0.9,   0.5,   0.8,   1.2,   1.2
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,"   1,355",       5,   0.4,   0.5,   0.3,   0.0,   0.6
Bridgewater-Raynham - Therapeutic Day School,06250415,      11,       3,  27.3,,,,
Bristol County Agricultural - Bristol County Agricultural High,09100705,     499,       4,   0.8,   0.0,   0.8,   1.9,   1.0
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,"   1,332",      15,   1.1,   0.0,   1.2,   1.8,   1.6
Brockton - Brockton Champion High School,00440515,      84,      18,  21.4,  13.3,  29.4,  13.3,  31.8
Brockton - Brockton High,00440505,"   3,902",     100,   2.6,   1.9,   3.0,   2.9,   2.8
Brockton - Brockton Virtual Learning Academy,00440705,     134,       1,   0.7,   2.1,   0.0,   0.0,   0.0
Brockton - Edison Academy,00440520,     203,     101,  49.8,  42.4,  57.1,  47.6,  50.8
Brockton - Frederick Douglass Academy,00440080,      11,       2,  18.2,,,,
Brockton - Huntington Therapeutic Day School,00440400,      33,       2,   6.1,   0.0,  10.0,   0.0,  10.0
Brooke Charter School (District) - Brooke Charter School,04280305,     462,       6,   1.3,   0.0,   1.5,   1.9,   3.2
Brookline - Brookline High,00460505,"   2,063",       7,   0.3,   0.0,   0.0,   0.6,   0.8
Burlington - Burlington High,00480505,     907,       8,   0.9,   0.9,   0.0,   1.3,   1.3
Cambridge - Cambridge Rindge and Latin,00490506,"   1,845",      17,   0.9,   0.8,   0.2,   0.9,   1.7
Canton - Canton High,00500505,     903,       7,   0.8,   0.5,   0.9,   0.5,   1.2
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,     654,       8,   1.2,   0.0,   1.2,   0.0,   4.4
Carver - Carver Middle/High School,00520405,     366,       5,   1.4,   0.0,   1.9,   3.3,   0.0
Central Berkshire - Wahconah Regional High,06350505,     513,       5,   1.0,   0.7,   0.0,   2.5,   0.9
Chelmsford - Chelmsford High,00560505,"   1,342",      10,   0.7,   0.3,   0.3,   1.2,   1.2
Chelsea - Chelsea High,00570505,"   1,492",      60,   4.0,   2.8,   4.9,   5.5,   2.7
Chelsea - Chelsea Opportunity Academy,00570515,     117,      44,  37.6,,  58.3,  77.3,  24.7
Chelsea - Chelsea Virtual Learning Academy,00570705,       1,,,,,,
Chicopee - Chicopee Academy,00610021,      62,      14,  22.6,   0.0,  23.8,  40.0,  11.1
Chicopee - Chicopee Comprehensive High School,00610510,"   1,153",      21,   1.8,   0.0,   0.3,   1.8,   6.1
Chicopee - Chicopee High,00610505,     925,      39,   4.2,   0.4,   3.1,   6.0,   7.1
City on a Hill Charter Public School (District) - City on a Hill Charter Public School,04370505,     229,      17,   7.4,   3.6,  11.1,   5.6,   8.3
Clinton - Clinton Senior High,00640505,     493,      11,   2.2,   1.5,   0.0,   6.7,   1.0
Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,     145,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Cohasset - Cohasset High School,00650505,     424,       1,   0.2,   0.0,   0.0,   0.9,   0.0
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,35030205,     157,       8,   5.1,   6.2,   2.7,   5.1,
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,     182,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Concord-Carlisle - Concord Carlisle High,06400505,"   1,315",       1,   0.1,   0.0,   0.3,   0.0,   0.0
Danvers - Danvers High,00710505,     799,       8,   1.0,   0.5,   0.5,   1.5,   1.5
Dartmouth - Dartmouth High,00720505,"   1,032",      16,   1.6,   0.4,   1.5,   2.0,   2.2
Dedham - Dedham High,00730505,     694,       8,   1.2,   0.5,   0.6,   1.2,   2.4
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,     675,      10,   1.5,   0.5,   2.7,   2.7,   0.6
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,     692,      14,   2.0,   2.8,   1.7,   2.5,   1.1
Douglas - Douglas High School,00770505,     334,       2,   0.6,   0.0,   0.0,   1.3,   1.1
Dover-Sherborn - Dover-Sherborn Regional High,06550505,     657,       1,   0.2,   0.0,   0.0,   0.0,   0.6
Dracut - Dracut Senior High,00790505,     868,      14,   1.6,   2.2,   2.4,   0.0,   1.7
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,     924,      15,   1.6,   1.6,   2.7,   0.9,   1.3
Duxbury - Duxbury High,00820505,     946,       2,   0.2,   0.0,   0.0,   0.0,   0.9
East Bridgewater - East Bridgewater JR./SR. High School,00830505,     595,       9,   1.5,   0.0,   1.4,   1.2,   3.1
East Longmeadow - East Longmeadow High,00870505,     813,       1,   0.1,   0.0,   0.5,   0.0,   0.0
Easthampton - Easthampton High,00860505,     399,       6,   1.5,   0.9,   1.1,   2.2,   1.9
Easton - Oliver Ames High,00880505,"   1,104",       6,   0.5,   0.0,   0.4,   0.7,   1.1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,     395,       3,   0.8,   1.9,   1.0,   0.0,   0.0
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,08170505,"   1,654",       5,   0.3,   0.0,   0.5,   0.5,   0.3
Everett - Devens School,00930030,      20,       4,  20.0,,  12.5,,
Everett - Everett High,00930505,"   2,091",      75,   3.6,   2.3,   4.6,   4.0,   3.5
Excel Academy Charter (District) - Excel Academy Charter School,04100205,     685,       1,   0.1,   0.0,   0.6,   0.0,   0.0
Fairhaven - Fairhaven High,00940505,     631,      20,   3.2,   3.0,   4.8,   1.8,   3.3
Fall River - B M C Durfee High,00950505,"   2,347",      99,   4.2,   1.9,   3.3,   7.5,   4.2
Fall River - Resiliency Preparatory Academy,00950525,      87,      62,  71.3,  17.6,  67.4,,
Fall River - Stone PK-12 School,00950340,      32,       3,   9.4,   0.0,  11.1,  12.5,  16.7
Falmouth - Falmouth High,00960505,     798,      15,   1.9,   1.4,   2.0,   3.3,   0.6
Fitchburg - Fitchburg High,00970505,"   1,267",      18,   1.4,   0.7,   0.6,   1.4,   3.2
Fitchburg - Goodrich Academy,00970510,     147,      22,  15.0,,  12.5,  25.0,  13.0
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,     144,       2,   1.4,   0.0,   3.3,   0.0,   2.6
Foxborough - Foxborough High,00990505,     764,       5,   0.7,   0.5,   0.0,   0.5,   1.6
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,     388,       1,   0.3,   0.8,   0.0,   0.0,   0.0
Framingham - Framingham High School,01000515,"   2,422",     112,   4.6,   4.8,   6.1,   5.8,   1.5
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,     248,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Franklin - Franklin High,01010505,"   1,658",       8,   0.5,   0.3,   1.0,   0.5,   0.2
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,     583,      14,   2.4,   0.0,   1.3,   3.0,   6.6
Freetown-Lakeville - Apponequet Regional High,06650505,     718,       1,   0.1,   0.0,   0.0,   0.0,   0.7
Freetown-Lakeville - Freetown-Lakeville Middle School,06650305,       1,,,,,,
Frontier - Frontier Regional,06700505,     395,       5,   1.3,   0.0,   0.0,   2.1,   3.0
Gardner - Gardner Academy for Learning and Technology,01030515,      96,       7,   7.3,  33.3,  15.8,   4.3,   0.0
Gardner - Gardner High,01030505,     552,       7,   1.3,   1.1,   3.1,   0.8,   0.0
Gateway - Gateway Regional High,06720505,     172,       6,   3.5,   7.5,   3.9,   2.4,   0.0
Georgetown - Georgetown High School,01050505,     322,       1,   0.3,   0.0,   0.0,   0.0,   1.1
Gill-Montague - Turners Fall High,06740505,     177,       8,   4.5,   0.0,   1.8,   8.1,  10.5
Global Learning Charter Public (District) - Global Learning Charter Public School,04960305,     152,       2,   1.3,   0.0,   2.9,   0.0,   3.1
Gloucester - Gloucester High,01070505,     824,      18,   2.2,   2.6,   2.8,   2.1,   1.1
Grafton - Grafton High School,01100505,     905,       6,   0.7,   0.0,   0.5,   1.7,   0.4
Granby - Granby Jr Sr High School,01110505,     209,       1,   0.5,   0.0,   0.0,   1.8,   0.0
Greater Commonwealth Virtual District - Greater Commonwealth Virtual School,39010900,     467,      59,  12.6,  17.7,  12.1,  11.3,   9.4
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,"   1,420",       5,   0.4,   0.3,   0.3,   0.3,   0.6
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,"   1,655",      10,   0.6,   0.0,   0.0,   0.0,   2.6
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,"   2,282",      16,   0.7,   0.0,   0.5,   1.2,   1.1
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,"   2,110",      14,   0.7,   0.2,   0.4,   1.2,   1.0
Greenfield - Greenfield High,01140505,     383,      20,   5.2,   2.8,   5.4,   9.2,   4.7
Groton-Dunstable - Groton Dunstable Regional,06730505,     700,       1,   0.1,   0.0,   0.6,   0.0,   0.0
Hadley - Hopkins Academy,01170505,     164,       5,   3.0,   0.0,   4.3,   0.0,   8.6
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,     492,       9,   1.8,   0.0,   0.8,   4.0,   2.3
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,04990305,     297,       2,   0.7,   0.0,   1.2,   1.3,   0.0
Hampden Charter School of Science West (District) - Hampden Charter School of Science West,35160305,     174,       1,   0.6,   0.0,   0.0,   3.1,   0.0
Hampden-Wilbraham - Minnechaug Regional High,06800505,"   1,017",       8,   0.8,   0.0,   0.4,   1.3,   1.4
Hampshire - Hampshire Regional High,06830505,     428,       3,   0.7,   0.0,   1.0,   1.0,   0.8
Hanover - Hanover High,01220505,     707,       2,   0.3,   0.0,   0.0,   0.6,   0.5
Harvard - Bromfield,01250505,     323,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Hatfield - Smith Academy,01270505,     107,       2,   1.9,   4.3,   0.0,   0.0,   2.4
Haverhill - Bartlett School and Assessment Center,01280073,       4,,,,,,
Haverhill - Crowell,01280515,      19,       6,  31.6,,  22.2,,
Haverhill - Greenleaf Academy,01280033,      19,       7,  36.8,,  11.1,,
Haverhill - Haverhill High,01280505,"   1,901",      46,   2.4,   0.8,   3.3,   2.2,   4.1
Hingham - Hingham High,01310505,"   1,202",       6,   0.5,   0.4,   0.0,   0.6,   0.9
Holbrook - Holbrook Middle High School,01330505,     299,       8,   2.7,   0.0,   4.3,   2.6,   3.5
Holliston - Holliston High,01360505,     806,       6,   0.7,   0.0,   0.5,   1.0,   1.4
Holyoke - Holyoke High,01370505,"   1,508",      51,   3.4,   0.3,   2.0,   4.2,   6.7
Hoosac Valley Regional - Hoosac Valley High School,06030505,     237,      10,   4.2,   1.7,  11.5,   0.0,   4.2
Hopedale - Hopedale Jr Sr High,01380505,     294,       3,   1.0,   0.0,   0.0,   3.0,   1.2
Hopkinton - Hopkinton High,01390505,"   1,206",       2,   0.2,   0.0,   0.4,   0.3,   0.0
Hudson - Hudson High,01410505,     634,      17,   2.7,   0.0,   3.2,   5.7,   2.0
Hull - Hull High,01420505,     248,       2,   0.8,   0.0,   0.0,   0.0,   2.9
Innovation Academy Charter (District) - Innovation Academy Charter School,04350305,     376,       5,   1.3,   0.0,   0.0,   3.4,   2.5
Ipswich - Ipswich High,01440505,     523,       3,   0.6,   0.8,   0.0,   0.8,   0.7
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,04290010,     485,       3,   0.6,   0.0,   2.3,   0.0,   0.0
King Philip - King Philip Regional High,06900505,"   1,156",      16,   1.4,   0.7,   0.3,   2.2,   2.2
Lawrence - High School Learning Center,01490536,     208,      10,   4.8,,  10.0,   8.0,   4.1
Lawrence - Lawrence High School,01490515,"   3,066",      36,   1.2,   0.6,   0.5,   2.5,   1.1
Lawrence - RISE Academy,01490615,      79,      14,  17.7,,  15.8,  24.0,  16.7
Lawrence - School for Exceptional Studies,01490537,      40,       7,  17.5,   7.7,  22.2,  12.5,  30.0
Lee - Lee Middle/High School,01500505,     228,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Leicester - Leicester High,01510505,     433,       7,   1.6,   1.1,   1.7,   2.1,   1.5
Lenox - Lenox Memorial High,01520505,     249,       1,   0.4,   0.0,   1.6,   0.0,   0.0
Leominster - Center For Technical Education Innovation,01530605,     732,       3,   0.4,   0.0,   0.0,   2.0,   0.0
Leominster - Leominster Center for Excellence,01530515,      47,       3,   6.4,   0.0,   7.1,  10.0,  11.1
Leominster - Leominster High School,01530505,"   1,081",      13,   1.2,   0.6,   0.7,   1.7,   1.6
Lexington - Lexington High,01550505,"   2,273",       3,   0.1,   0.0,   0.0,   0.0,   0.5
Libertas Academy Charter School (District) - Libertas Academy Charter School,35140305,      79,       0,   0.0,   0.0,,,
Lincoln-Sudbury - Lincoln-Sudbury Regional High,06950505,"   1,509",       2,   0.1,   0.0,   0.0,   0.3,   0.3
Littleton - Littleton High School,01580505,     447,       4,   0.9,   0.8,   1.7,   0.0,   1.0
Longmeadow - Longmeadow High,01590505,     911,       4,   0.4,   0.0,   0.0,   1.4,   0.4
Lowell - Dr. Janice Adie Day School,01600605,       8,       0,   0.0,,,,
Lowell - Leblanc Therapeutic Day School,01600320,      39,       3,   7.7,   0.0,  10.0,   0.0,  18.2
Lowell - Lowell High,01600505,"   3,033",     143,   4.7,   2.7,   6.3,   6.5,   4.0
Lowell - The Career Academy,01600515,      97,      19,  19.6,  16.7,  21.1,  26.3,  17.0
Lowell Middlesex Academy Charter (District) - Lowell Middlesex Academy Charter School,04580505,      74,      16,  21.6,  33.3,  23.1,  27.3,   4.3
Ludlow - Ludlow Senior High,01610505,     827,      17,   2.1,   2.2,   1.6,   2.9,   1.5
